Date,AAPL,BAC,DIS,FB,INTC,JNJ,JPM,MSFT,TSLA,V,high_1,high_2,high_3,low_3,low_2,low_1,Total_by_highest,high_3_unit,high_2_unit,high_1_unit,Total_by_lowest,low_3_unit,low_2_unit,low_1_unit
2015-01-16,97.38544605788321,14.222385860552109,89.24051937052822,75.18,31.704832774699373,90.69349049091512,49.34095056214711,41.51232955823328,193.07,61.567603462483646,TSLA,AAPL,JNJ,MSFT,INTC,BAC,94.78464394784895,0.34836989010930774,0.32443124301315546,0.1636446952708844,94.8345104037864,0.7614967361343656,0.9970563066068259,2.2226582640826797
2015-01-20,99.89381729798154,14.111417960469776,88.82797651989748,76.24,31.391698623838145,88.2962673185774,49.1468685109461,41.646993257059734,191.93,62.02401754581016,TSLA,AAPL,DIS,MSFT,INTC,BAC,94.57676262148892,0.3549060642334296,0.3155909784331899,0.16425565331368888,94.37820027082246,0.7553822648395238,1.002156667826334,2.229357827710948
2015-01-21,100.65643566035575,14.250127835572691,88.29354600885314,76.74,31.730927287271136,88.82801500407777,49.3056629164742,41.225047000736865,196.57,62.13027267632003,TSLA,AAPL,JNJ,MSFT,INTC,BAC,95.38991169873623,0.35795730920534935,0.3158927397370122,0.16175732427589193,94.70866376489943,0.7657857755198079,0.9949143402740688,2.2153874654718897
2015-01-22,103.27506497694192,14.878945936039234,89.21239144889431,77.65,32.10494863413316,90.44940958609529,50.805387857572896,42.31133417127022,201.62,62.20754913487268,TSLA,AAPL,JNJ,MSFT,INTC,BAC,97.61438221724066,0.3597384168082944,0.3150627638240811,0.16138343123572504,97.3057219676206,0.7665851548093551,1.010287885070441,2.1799421004219184
2015-01-23,103.80797901329981,14.54604223579224,88.80922457214155,77.83,31.700483689270744,89.08953025924188,50.00259391851418,42.35622207087903,201.29,62.3741764986268,TSLA,AAPL,JNJ,MSFT,INTC,BAC,97.23982621801585,0.36382810989895,0.31224262059713653,0.16102774805507122,96.20579553980645,0.7571165922117683,1.011612277831668,2.204627072672749
2015-01-26,103.91823708978764,14.65701013587457,89.04362391909082,77.495,31.143800754406335,89.1418333102747,50.08199112127823,42.20360321220905,206.55,61.94915597658729,TSLA,AAPL,JNJ,MSFT,INTC,BAC,98.1402887637293,0.3669817904018711,0.31479969737789765,0.15838019650404145,95.77174081457393,0.75642625688469,1.0250487362349718,2.178064510354731
2015-01-27,100.27972056568898,14.453568985723631,88.10602653129372,75.78,29.73469707553081,88.99364133234837,49.579142170439255,38.29835594624203,205.98,60.611307287894775,TSLA,AAPL,JNJ,MSFT,INTC,BAC,96.85022439364866,0.36276084052627133,0.32193356691763747,0.15673079003406262,90.93020134862441,0.7914195366180533,1.019350122828418,2.0970645482888415
2015-01-28,105.948823331772,14.05593401042861,86.88714992715748,76.24,29.378072070383297,88.46189364684801,48.29996501479624,36.97865169774284,199.37,59.49321352821131,TSLA,AAPL,JNJ,MSFT,INTC,BAC,97.44641110889125,0.36718790088272607,0.3065832730825272,0.1629238954521597,88.6883696711526,0.7994555921623475,1.0062876086476458,2.10322486349541
2015-01-29,109.24737745336651,14.268622485586413,87.40282849044588,78.0,29.756442502673952,89.24643941234035,49.11158086527319,37.71481325132743,205.2,59.88925537829357,TSLA,AAPL,JNJ,MSFT,INTC,BAC,99.69561465119321,0.3723607548852271,0.3041891926841277,0.16194869176607085,90.10497930852428,0.7963712534566056,1.0093610182111805,2.1049679556089993
2015-01-30,107.64863534429284,14.009697385394306,85.28385839402443,75.91,28.73875651237496,87.29379217378163,47.97355429232183,36.26942288392354,203.6,61.55794390516457,TSLA,AAPL,JNJ,MSFT,INTC,BAC,98.22308747312397,0.3750670963237365,0.30414718266508717,0.16081055578442038,87.38167036370606,0.8030793196734145,1.0135171799109142,2.079075846772753
2015-02-02,108.99929678126885,14.296364460606995,86.19332786018764,74.99,29.269344934667593,87.89527726065909,48.93514263690864,37.05944991703871,210.94,61.66178414634468,TSLA,AAPL,JNJ,MSFT,INTC,BAC,100.03983408838943,0.37939025169583296,0.3059341880866792,0.15808576544418543,89.1498878095789,0.8018637442375233,1.0152816653802956,2.0786144163953364
2015-02-03,109.01767312735018,14.693999435902015,88.22791419170734,75.4,29.31283578895388,89.31617681371745,50.03788156418709,37.34673247453514,218.36,62.73640989809229,TSLA,AAPL,JNJ,MSFT,INTC,BAC,101.75752785957297,0.37976520226492255,0.31113465349391506,0.15533603202597085,90.25093453586695,0.8055228088776311,1.0262959565524388,2.0473421804947995
2015-02-04,109.8537968740496,14.601526185833405,94.95986343609054,75.63,29.43548363744322,88.35728754478235,49.73793657596735,37.56219439265745,218.55,63.96800345627493,TSLA,AAPL,DIS,MSFT,INTC,BAC,101.68303600069848,0.35693338329596036,0.30854049926400773,0.15508737283718213,90.36104263091056,0.8018793372073248,1.0232666096004774,2.062821869460469
2015-02-05,110.63787385232607,14.767978035956903,96.23499588349459,75.615,29.7333426980602,89.31617681371745,50.08199112127823,38.10982676788501,220.99,65.63669198314594,TSLA,AAPL,DIS,MSFT,INTC,BAC,102.7585060313624,0.3559290986540399,0.30959412135401704,0.15499721862431542,91.44832746473453,0.7998665542942295,1.025205141955562,2.0641130253145734
2015-02-06,109.70620591343288,15.24883893631367,95.65368550306039,74.47,29.16828653894857,88.13064099030679,51.07004520011972,38.073916448197956,217.36,64.57897045670673,TSLA,AAPL,DIS,MSFT,INTC,BAC,101.7005219310746,0.3544053090974759,0.3090087173716942,0.1559632590036109,91.83285676903883,0.8039874830842388,1.0494600776590461,2.0074283940037683
2015-02-09,110.43493628147804,15.119376386217619,95.38178226059924,74.44,28.848526076815627,86.97997386758469,51.00829182019213,38.02902854858914,217.48,64.10565214807181,TSLA,AAPL,DIS,MSFT,INTC,BAC,101.84805760580542,0.3559312033246881,0.3074149691972286,0.15610333150298178,91.20130482116612,0.7994007762135314,1.0537950833065362,2.0106937061306875
2015-02-10,112.55655634034373,15.184107661265646,95.55992576428068,75.19,29.523089243507037,87.4768528523965,51.572894150958696,38.24449046671146,216.29,63.88589721906276,TSLA,AAPL,DIS,MSFT,INTC,BAC,102.37791923799111,0.35711594380587425,0.3031895625532617,0.15777878348203972,92.21455136152554,0.803728417141029,1.0411574321930208,2.0243655058892704
2015-02-11,115.19474476136801,15.128623711224478,95.51304589489084,76.51,29.391680834411304,87.50300437791292,51.49349694819465,38.04698370843267,212.8,64.35039876282238,TSLA,AAPL,DIS,MSFT,INTC,BAC,102.6104009281396,0.35810256761873555,0.29691864022877795,0.1607305778949555,91.80667293094297,0.8043272114507121,1.041186602519368,2.0228029260592564
2015-02-12,116.65220549745835,15.415290786437168,97.11633742802387,76.23,29.895413069278266,85.8118723945183,52.55212631838196,38.68439188287786,202.88,65.54068396870639,TSLA,AAPL,DIS,MSFT,INTC,BAC,102.02284367002474,0.350173981611272,0.2915299750369133,0.167624283106639,93.42370792319606,0.8050077682152253,1.0416727108681658,2.0201523542973105
